REF_DATE;GEO;DGUID;Month of birth;Characteristics;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
1999;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;30051;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;29881;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;29970;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;28892;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;29505;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;28870;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;30032;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;31264;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;31986;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32930;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;33119;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32084;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32640;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32826;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32951;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;33510;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32677;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32708;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32359;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32844;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32214;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;31297;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, May;Number of live births;Number;223;units;0;v21400546;01.06.2001;32057;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;34378;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;33832;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;33497;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;33707;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;33055;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31368;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;30077;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;29399;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;29387;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;28820;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;28638;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;27350;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;28320;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;28885;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;29980;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;30431;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31805;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31996;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32562;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31947;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;32506;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, June;Number of live births;Number;223;units;0;v21400548;01.07.2001;31760;;;;0
